#year    cash flow    
0    0.0      
1    -178.4842981912071      
2    -433.94859638241417      
3    -567.1681072182222      
4    -777.3676180540301      
5    -865.3149341227232      
6    -1030.2422501914164      
7    -1072.9120387181263      
8    -1192.5618272448362      
9    -1189.968027606061      
10    -1264.3542279672859      
11    -1216.4707229264595      
12    -1245.5672178856332      
13    -973.9627343571465      
14    -702.3582508286597      
15    -430.753767300173      
16    -159.14928377168633      
17    112.45519975680037      
18    384.05968328528706      
19    655.6641668137738      
20    927.2686503422606      
21    1198.8731338707473      
22    1470.477617399234      
23    1700.0821009277208      
24    1971.6865844562076      
25    2201.291067984694      
26    2472.8955515131806      
27    2702.500035041667      
28    2974.1045185701537      
29    3203.70900209864      
30    3475.3134856271267      
31    3704.9179691556133      
32    3976.5224526841      
33    4171.146936212586      
34    4442.751419741073      
35    4679.37590326956      
36    4950.980386798046      
37    5187.604870326533      
38    5459.20935385502      
39    5695.833837383507      
40    5967.438320911993      
41    6204.06280444048      
42    6475.667287968967      
43    6670.291771497454      
44    6941.89625502594      
45    7171.500738554427      
46    7443.105222082913      
47    7672.7097056114      
48    7944.314189139886      
49    8173.918672668373      
50    8445.52315619686      
51    8675.127639725346      
52    8946.732123253832      
53    9176.336606782319      
54    9447.941090310806      
55    9719.545573839292      
56    9991.150057367779      
57    10262.754540896265      
58    10534.359024424752      
59    10805.963507953238      
60    11077.567991481725      
61    11349.172475010211      
62    11620.776958538698      
63    11892.381442067184      
64    12163.98592559567      
65    12435.590409124157      
